name,ring,quadrant,isNew,description,MoH_Used
Ansible,Employ,"Development, Test and Release Tools",TRUE,"<p>Ansible is an open-source software provisioning, configuration management, and application-deployment tool enabling infrastructure as code. IIT uses ansible to automate infrastructure and software installations.</P>",y
Apache Tomcat,Employ,"Development, Test and Release Tools",FALSE,"<p>Apache TomcatÃ‚Â® is an open source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies. Apache Tomcat is the middleware platform for all Oracle Fusion Middleware applications under transformation and all net new java based applications.</p>",n
Artifactory,Employ,"Development, Test and Release Tools",FALSE,<p>Artifactory is a Binary Repository Manager product from Jfrog. IIT uses Artifactory in both mode 1 and mode 2 development models to track dependencies and library management.</p>,y
BitBucket,Employ,"Development, Test and Release Tools",FALSE,<p>Bitbucket is a web-based version control repository hosting service owned by Atlassian used for source code and development projects. IIT uses bitbucket for private repos not suitable for github.</P>,n
Orbus,Employ,"Development, Test and Release Tools",TRUE,<p>ER Studio is IIT's emerging replacement for Oracle Designer and Enterprise Architect for managing relational data models.</p>,y
Github,Employ,"Development, Test and Release Tools",FALSE,"<p>Github offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project. Github is the IIT standard for source control. The province has two organizations registered with github called bcgov and BCDevOps</p>",n
Jenkins,Employ,"Development, Test and Release Tools",FALSE,"<p>Jenkins is a popular open source automation server, Jenkins provides hundreds of plugins to support building, deploying and automating any project. Jenkins is widely used in IIT for build and deployment automation, in both mode 1 and mode 2 development patterns.</p>",y
KeyCloak,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>Keycloak is an open source Identity and Access Management solution aimed at modern applications and services. It makes it easy to secure applications and services with little to no code. Projects being developed on the Openshift platform in the DevExchange are largely using Keycloak, and IIT is currently assessing Keycloak as a replacement for WebADE.</p>",n
PostgreSQL,Employ,"Languages, Frameworks, and Platforms",TRUE,<p>PostgreSQL is an open source relational database management system and is endorsed as an IIT preferred technology. Emerging LOB systems should target PostgreSQL for relational database management.</p>,y
Amazon - S3,Employ,"Languages, Frameworks, and Platforms",TRUE,"<p>The Object Storage Service is for Ministry and Greater Public Sector clients to store data as objects using standard protocols including S3, NFS, and HTTP. It provides a scalable, secure, fully managed object storage platform with high availability and enterprise features. The Object Storage Service offering provides a cheaper solution for long-term, archival data storage. The data best-suited to this offering are objects over 100 KB, that will be retained for weeks or months, while only being read occasionally (on the order of weeks). Object Storage can be accessed in a similar fashion to a shared drive, and also programmatically with the REST API. Use of the API is encouraged to streamline data transfer between applications and Object Storage.</p>",n
